retort,,,,
"""Dream on sucker!""",,,,
"""Maybe if you weren’t so ugly.""",,,,
"""Do I look like Betty Crocker?""",,,,
"""Make it yourself!""",,,,
"""Not even if you looked like Ryan Gosling.""",,,,
"""Take a hike!""",,,,
"""Not while there is a breath in my body.""",,,,
"""What’s in it for me?""",,,,
"""Why would I do that?""",,,,
